NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
ZURICH INSURANCE GROUP;CH0011075394;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;25710;25710;25710;25710;25710;25710;25710;26478;25078;27167;23293;23709;16437;18668;19036;17865;16412;16412
NOVARTIS 'R';CH0012005267;N/A;N/A;N/A;N/A;361640;372260;563740;580360;573950;585500;574000;582000;586000;567800;569100;542000;535600;464400;471300;480800;484529;378300;276800;263200;251100;207000;207000
ROCHE HOLDING;CH0012032048;N/A;N/A;N/A;N/A;361497;394000;537362;402021;438719;439535;433535;451073;419306;388061;396588;356348;379457;319538;295319;289636;288157;256815;254060;249350;240266;245832;245832
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23;CH0012138530;N/A;N/A;N/A;29180;28205;26407;26813;19100;16600;17100;18060;19950;21870;26690;22490;17270;16630;21420;16520;17400;13235;11950;14400;11880;11880;11880;11880
ADECCO GROUP;CH0012138605;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;85683;81423;51562;39551;54422;49843;51647;59815;52496,02;58170,22;29918,19;25979,92;35830,99;38947;40426;40426
CLARIANT;CH0012142631;N/A;N/A;N/A;N/A;1819000;1069859;1031289;897633;708014;653146;638050;616888;601480;534028;680000;420000;400000;410000;440000;430000;370000;360000;370000;320000;290000;270000;270000
HOLCIM;CH0012214059;N/A;N/A;N/A;N/A;64000000;64000000;64000000;64000000;93800000;92400000;90700000;95400000;106567444;102102123;95700000;103200000;150000000;127000000;131000000;122000000;121000000;110000000;119000000;77000000;74000000;71000000;71000000
ABB LTD N;CH0012221716;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;868000;720000;714000;722000;690000;825000;914000;767000;733000;392000;375000;396000;226000;190000;155000;128000;119000;119000
THE SWATCH GROUP;CH0012255151;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18991;15890;20422;18153;17931;17002;17002
BALOISE HOLDING DEAD - DELIST.08/12/25;CH0012410517;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4738;4078;4785;4785
SONOVA N;CH0012549785;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1193;1193;999;983;1185;1665;2219;2102;1998;1559;1597;16494;14633;13008;11086;10291;11729;10779;10178
LONZA GROUP;CH0013841017;N/A;N/A;N/A;N/A;N/A;N/A;423500;418000;413000;413000;413800;459700;398205,47;436785;404000;401000;410000;469000;425000;574000;548000;497000;325000;321000;319000;319000;319000
VALIANT 'R';CH0014786500;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;143,78;150;294,27;1280;1092;1444;1522;1132;1357;1161;1035;1039;934;1032;1032
SWISS LIFE HOLDING;CH0014852781;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2236;5916;5710;6420;6860;8870;8460;8660;8667;9341;9844;9313;8585;7406;7095;5842;5842
PSP SWISS PROPERTY AG;CH0018294154;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;14000;13859;13859;13859;13859;10806;9699;10051;8452;8128;7252;7512;6697;6040;5753;5753
EFG INTERNATIONAL N;CH0022268228;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;698;617;556;556
PARTNERS GROUP HOLDING;CH0024608827;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;139;153;103;121;121;121;121;121;121;121;400;513;919;754;608;467;467
SCHINDLER 'R';CH0024638212;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;107600;112000;113000;115000;131000;133000;138000;135000;137000;145600;144512;145524;129680;135905;142163;139528;131225;131225
KUEHNE UND NAGEL INTERNATIONAL;CH0025238863;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;137223;148328;116890;135864;135864;135864;135864;135864;135864;135864;110000;140000;160000;183000;180000;180000;180000
LOGITECH 'R';CH0025751329;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;434;171;127;137;216;658;1121;1378;1114;895;801;566;421;342;342
GEBERIT 'R';CH0030170408;N/A;N/A;N/A;N/A;N/A;15825;15530;19330;17876;18319;18785;19189;17761;16711;17254;13375;143750;135336;126983;119447;115024;107403;113572;103782;91724;93827;93827
SULZER 'R';CH0038388911;N/A;N/A;N/A;N/A;N/A;N/A;15400;16250;15290;19040;16850;18570;17670;19120;24700;21640;20560;17690;18366;18979;21245;21545;18419;17055;16468,09;15000;15000
NESTLE 'N';CH0038863350;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4130000;4100000;4000000;3800000;3810000;3710000;4070000;3910000;3700000;3600000;3500000;3349632;3291303;3300000;3372000;3238985;3155577;3080000;3080000
CHUBB;CH0044328745;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;14741;14510;12866;12912;13747;16471;16347;26146;27211;26048;26332;16313;19933;22405;23017;28246;28246
TRANSOCEAN;CH0048265513;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2148208;2198571;1761738;1761738;1761738;1761738;1761738;1761738;913280;947470;1391760;1143165;1076410;889663;889663;124514;124514;124514
JULIUS BAER GRUPPE;CH0102484968;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;332,02;6;123,24;190,33;650,22;782;782;1174;1358;1638;1898;1569;2737;2232;2747;2496;2736;2044;2044
SWISS RE;CH0126881561;N/A;N/A;N/A;N/A;N/A;N/A;6830;8158;8158;8158;5718;5190;3852,04;4850;4021,57;3436,97;3530,56;3952,8;3536,28;4186;4248;2901;2267;2520;1726;1728;1728
COCA-COLA HBC;CH0198251305;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;396724;334097;317694;286630;280478;268720;248872;233500;254835;324094;304428;342742;342742
RICHEMONT N;CH0210483332;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;15600;11700;11300;18300;20800;19300;18600;18300;20000;13600;15400;13400;15836;15836;11500;13300;14522;14962;17075,3
UBS GROUP;CH0244767585;N/A;N/A;N/A;N/A;39872,04;39157,35;34556;31519;26701;26490;25723;27153;25235;21838;22621;18053;13340;14154;13305;11522;10574;9972;10726;25167;20796;18168;18168
FLUGHAFEN ZURICH;CH0319416936;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;25881;29656;23838;24773;26505;27917;25143;26218;26403;32654;29593;24777;25486;25486
SIKA;CH0418792922;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;26000;29000;31000;47000;50000;47000;53000;45000;53000;48000;88000;102528;156419;191211;169528;168946;168946
GEORG FISCHER;CH1169151003;N/A;N/A;N/A;N/A;N/A;N/A;288270;314720;353100;327250;235720;265000;293000;255000;311000;313000;313000;307000;325000;312000;77000;68000;84000;81000;80000;80000;80000
