NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
GEORG FISCHER;CH1169151003;2155689;1954710;2370318;2239558;2499061;2582896;2969617;2870560;3248168;4155275;3834763;2750552;3675990;3977698;3989286;4171757;4105003;3567037;3784618;4452811;4599401;3851250;3542587;4048981;4394958;4651038;4268817
STRAUMANN HLDG.;CH1175448666;78368;90251;115430;134792;201048;272696;352576;396182;480809;659424;668793;696972;786651;758344;760039;753178;768290;782592;927471;1193248;1371732;1652543;1586432;2199529;2551214;2786255;2746324
DSM FIRMENICH;CH1216478797;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;12927909;9179252;11479863;13201358
SGS 'N';CH1256740924;2238105;1377300;1438626;1357233;1749359;1946094;2420154;2571997;3066021;4039774;4137937;4459945;5073016;5244919;6177746;6458137;6363566;5597503;6049929;6812264;6746190;6832862;6235131;6967685;7301479;7650068;7451784
UNITED INTERNET;DE0005089031;100394;118001;181386;198682;343498;516346;664303;968829;1644623;2204808;2112321;2314484;2633531;2758325;3282469;3589980;3476633;4050270;4267605;5231625;5884085;5743402;6456003;6378300;6471497;6711854;6528154
DEUTSCHE BANK;DE0005140008;48115758;53766218;68336331;64596535;60147777;54632633;57860242;73651076;98788078;135649246;74791781;63282606;64763425;70944928;73022321;57198685;51522862;51492780;47370176;51195599;45229251;41198285;39755442;38111577;43738754;66759718;71501252
BMW;DE0005190003;36650945;33443000;32998707;33121063;45390214;51662874;57784646;56395999;63574739;83035191;68120232;70710712;83511678;90651706;105252069;102815153;91200072;100475180;101761638;122731629;111791562;115230911;119070262;125663032;156025408;167977389;146855951
BEIERSDORF;DE0005200000;3800705;3536929;3841574;3911184;5090592;5813862;5925093;5773047;6643047;8162998;7646031;8019675;8553191;7419844;8272466;8301400;7129171;7288061;7296864;8775962;8294916;8462356;8450031;8615971;9626727;10205163;10159651
LEONI DEAD - DELIST.21/08/23;DE0005408884;565230;600679;897859;945289;1195793;1343491;1625620;1871131;2735384;3508264;3728851;3013820;4081437;4875635;5216868;5296196;4654587;4908421;4788915;6122784;5850046;5358179;4972032;5782679;5572499;5502127;5253481
CONTINENTAL;DE0005439004;7656329;8877628;9440602;9673162;12246941;14350397;16418999;16725881;19315438;24634851;31038327;28037751;35967728;40181358;44835946;45056823;39140338;42764766;43821708;54737202;50923648;49182291;45374322;38143434;43116119;44744675;40967632
LANXESS;DE0005470405;N/A;N/A;N/A;N/A;7260158;7856738;8827685;8642648;9009633;9795004;8420750;7055584;9831889;11558517;12455266;11219934;9081327;8613560;8320283;12019685;8253630;7521357;7342205;8536894;8848843;7252828;6566126
DEUTSCHE POST;DE0005552004;16654718;21739602;30527257;28743155;42140695;49786712;56263621;53903531;78555329;94143509;69755466;64460165;71089252;69586884;76029992;74463865;64236267;64563547;61960661;75177756;70586486;70039739;80357691;92346889;103319649;88319434;86832526
DEUTSCHE TELEKOM;DE0005557508;40556145;34481228;38209471;41599601;57635760;69470236;75438713;72047049;79595900;92667143;78965021;90185074;86196115;77258315;79669056;81286397;71073918;75461847;78993521;93215989;86763463;89047697;121486791;122900996;124939580;120956078;119408390
FRAPORT;DE0005773303;1428884;1302820;1433755;1361078;1936185;2282124;2604252;2526071;2781646;3452265;2691157;2752194;3030486;3123368;3344596;3462499;2716231;2832926;2794898;3650183;3988968;4097713;2017182;2421215;3494899;4321557;4566170
FRESENIUS;DE0005785604;4901964;4813957;5692361;6303361;8058851;8788598;9476760;9535923;13981538;16884820;15818359;19763170;22055468;21762943;26718423;27772717;26609899;30515895;31849211;42146010;38452719;39153741;43635841;42385107;44681843;24088591;22519356
FRESENIUS MED.CARE;DE0005785802;3573802;3527637;4255758;4689752;5742299;6024037;6496968;6611852;8781054;10443764;9247569;11250502;12609179;12058543;14643970;14849588;13600341;16846538;17906835;22118474;18976208;19324819;21481799;19903248;21222800;21014854;19943765
DEUTSCHE BOERSE;DE0005810055;N/A;N/A;655476;654706;1256975;1883378;1989846;2110136;2601298;3581224;3447053;3012401;2990579;2941725;3025477;2996669;2726553;3048864;2889675;3485634;3596642;3673766;4522000;5076046;5838726;6609752;7299168
BILFINGER BERGER;DE0005909006;4555047;3551924;3389043;3136439;4248100;5673647;7087564;7501456;9742314;12803173;12494237;13367102;11056318;10812318;11653769;11374851;8731051;7064929;4591448;5030009;4762265;4784499;4163069;4222018;4717632;4845589;5195862
HEIDELBERG MATERIALS;DE0006047004;4442334;6210809;6354805;5759825;7052971;7927405;9031531;9431486;11980580;16101131;18166974;15510566;16241673;16994511;19202257;18838540;14308592;14677170;16389521;21474864;20728229;20844952;21177282;21147254;23079529;22877194;21821486
HENKEL PREFERENCE;DE0006048432;12386108;11044297;11926985;11246161;10365827;11739696;13805232;14473716;16529769;19379523;18095137;18937205;20840290;20555061;22612321;22108678;18634529;19717879;20224157;24911245;22820479;22241191;23154890;22667899;24503899;23240592;22264592
HOCHTIEF;DE0006070006;3563522;4943396;8946618;10480617;12889839;13106233;15566937;16503463;20121198;24386347;24461901;25345524;27837621;30667594;34963116;34732111;25067292;22996328;21514863;28147443;27388577;28585863;27609953;24149880;28685800;29983589;34348151
SALZGITTER;DE0006202005;3625323;2620368;3802019;3955134;5089863;6023574;7743966;8644557;10960006;15107933;16005572;10907763;11467683;12960687;14240147;12496303;10254436;9267044;8529831;11181640;10640382;9451235;8529179;11033910;13734196;11656484;10326434
INFINEON TECHNOLOGIES;DE0006231004;3605270;4119173;6797045;4345808;6114722;7778357;9629254;7998378;10880584;10604337;4543312;4378174;4523774;5296501;5216858;5374754;5063583;6783369;7091531;8946357;8938279;8818410;11164867;13090581;16421999;17348885;15138396
MLP;DE0006569908;345978;409441;584812;716941;875309;650214;897051;633766;717131;882425;710446;702873;686744;693747;745849;677337;597986;607266;659528;773882;763713;783694;922628;1055683;1038404;1051600;1100157
MERCK KGAA;DE0006599905;4710913;5197848;6290997;6482818;8022459;8960414;6959313;7095795;8120347;10460703;9678228;10808703;12829234;13536176;15302556;14998349;13045532;14001340;16236386;19063091;17014153;17860183;21090797;22239755;24323378;22677779;21821074
GEA GROUP;DE0006602006;12406644;7199536;8210875;7593040;8728967;7966465;5289959;5436576;5639066;7705821;6631812;6154515;6101321;7134673;7834332;5839765;5122214;5013424;4854375;5726905;5537065;5395763;5575281;5312717;5650562;5804737;5592583
PUMA;DE0006969603;343475;362319;431605;515011;976657;1585067;1994538;2148574;3073966;3518227;3232308;3433197;3737222;3963485;4479595;4035527;3371185;3692429;3919363;5144062;5330742;6084095;6296205;7687836;9261417;9292024;9094383
RHEINMETALL;DE0007030009;4687514;4388180;4190657;3963712;4907021;5285103;4448382;4175064;4708519;5936591;4954362;4771623;5508343;5866853;6442663;6235850;5317669;5649719;6054063;7333202;7050621;6916509;7066752;6391656;7012993;7751905;10057539
RWE;DE0007037129;35635024;32937495;39597328;51701340;46683795;53213071;53432714;48976618;55623842;60852649;60825065;64446213;70041161;64744820;69536654;69473022;52347510;50531358;47107567;52777660;15353564;14513057;16464630;27706214;41975113;30858545;24985522
