NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23;CH0012138530;886,77;996,17;1211,6;919,91;567,19;997,18;1071,56;1610,9;1983,48;1650,3;764,66;1391,49;1416,88;885,22;1025,85;1031,64;762,11;608,4;596,43;836,88;528,64;563,86;618,73;448,99;183,94;0;N/A
ADECCO GROUP;CH0012138605;223,17;353,58;307,33;246,56;151,32;251,87;251,02;271,52;319,41;266,21;163,23;287,9;359,32;277,07;335,09;453,9;455,74;361,9;462,59;536,85;348,07;422,62;484,86;390,35;332,57;398,34;236,86
CLARIANT;CH0012142631;273,21;236,19;187,06;101,94;77,66;89,46;101,37;93,57;113,07;53,05;32,37;77,62;121,21;86,6;97,69;132,48;117,21;119,12;142,57;217,16;159,21;185,73;206,97;214,65;180,48;132,57;114,67
HOLCIM;CH0012214059;1176,29;1374,42;1576,46;1023,04;790,3;1261,09;1628,47;1968,04;2695,85;2745,95;1106,04;2190;2240,44;1961,75;2592,92;2398,41;2423,11;1435,57;2058,84;2349,72;1920,4;2121,47;2465,26;2540,24;2937,36;3804,59;5182,23
ABB LTD N;CH0012221716;1232,57;1881,36;1696,15;567,6;211,39;510,74;512,62;969,63;1626,38;2335,31;1132,23;1781,16;2269,2;2160,67;2263,17;2616,07;2144,33;1948;2818,54;3389,58;2459,91;3108,58;4219,66;5069,59;5197,14;6826,79;8588,84
THE SWATCH GROUP;CH0012255151;50,36;91,23;111,6;75,6;78,68;126,89;131,09;157,68;236,56;273,5;112,88;282,57;427,81;475,62;617,91;644,93;450,01;375,1;414,32;527,23;343,59;312,82;377,48;375,35;477,26;308,22;260,66
BALOISE HOLDING DEAD - DELIST.08/12/25;CH0012410517;6111,11;5265,31;7255,8;5565,9;2304,6;3172,43;3365,83;4565,67;7682,08;6865,96;5055,97;7094,04;9250,57;7207,48;9019,5;12145,66;14068,63;13661,4;15166,92;19883,4;19682,11;23662,4;23245,2;24758,1;24476,66;25240,78;29897,29
SONOVA N;CH0012549785;240;388,65;760,66;443,58;163,65;482,43;660,69;985,99;1521,84;1780,38;925,85;2553,38;2618,62;2228,09;2572,52;2952,85;2851,97;2657,05;2991,14;3576,09;4279,23;5943,09;5895,75;8818,85;6553,85;7919,11;8686,44
LONZA GROUP;CH0013841017;N/A;64,37;68,26;70,22;67,29;60,64;74,6;76,77;118,23;160,68;116,82;95,55;109,49;75,67;87,19;150,42;178,07;239,49;280,4;469,46;474,66;729,64;1139,32;1249,48;1084,24;902,78;1199,3
VALIANT 'R';CH0014786500;101,71;90,93;105,22;121,13;166,87;226,81;265,3;288,49;350,98;527,78;537,44;609,27;480,69;425,76;343,73;342,13;303,96;411,82;419,77;498,1;454,82;451,92;450,02;506,47;576,83;660,34;679,36
