date,formation_year,oos_year,portfolio_return,cumulative_index
2017-08-31,2016,2017,-0.0849193062965203,1.1200005840993252
2017-09-29,2016,2017,0.028861297310306344,1.1523252539447326
2017-10-31,2016,2017,-0.012834961951993885,1.1375352031540302
2017-11-30,2016,2017,-0.008010652111767505,1.1284228043766744
2017-12-29,2016,2017,0.017997248669017328,1.1487313101908314
2018-01-31,2017,2018,0.027821624356460493,1.1806908811894654
2018-02-28,2017,2018,-0.03470120686460704,1.1397194826781545
2018-03-30,2017,2018,-0.006209942426873562,1.132641890307937
2018-04-30,2017,2018,0.021869008457811676,1.1574116453867531
2018-05-31,2017,2018,0.005609120250865983,1.16390370648548
2018-06-29,2017,2018,0.010207823022213895,1.1757846295361825
2018-07-31,2017,2018,0.014466029682156694,1.1927935648868764
2018-08-31,2017,2018,0.004554593409882986,1.198226254596861
2018-09-28,2017,2018,-0.010811437553792347,1.1852717062699725
2018-10-31,2017,2018,-0.020563230573538822,1.1608986908816512
2018-11-30,2017,2018,0.011938513435883638,1.1747580955004415
2018-12-31,2017,2018,-0.07780451521156455,1.0833566113891688
2019-01-31,2018,2019,0.060320422736375306,1.1487051401624107
2019-02-28,2018,2019,0.031140383493706087,1.1844762587482596
2019-03-29,2018,2019,0.018523140965455015,1.2064164794592882
2019-04-30,2018,2019,-0.00821510023942983,1.1965056471500302
2019-05-31,2018,2019,-0.031152302310590806,1.1592317415136832
2019-06-28,2018,2019,0.0342487589046844,1.1989339899434428
2019-07-31,2018,2019,-0.02382984981359959,1.1703635730266708
2019-08-30,2018,2019,-0.022759179552327063,1.1437270583266537
2019-09-30,2018,2019,-0.001808790877877301,1.1416582952567709
2019-10-31,2018,2019,0.01528214539430756,1.159105283315502
2019-11-29,2018,2019,0.024124574501930632,1.1870682050784283
2019-12-31,2018,2019,0.054765704891759276,1.2520788320841438
2020-01-31,2019,2020,0.0006247211000818525,1.2528610321495126
2020-02-28,2019,2020,-0.06922512975859597,1.166131564629474
2020-03-31,2019,2020,-0.11144962032828895,1.0361666444986857
2020-04-30,2019,2020,0.06659665493800017,1.10517187698063
2020-05-29,2019,2020,0.028753817807469828,1.1369497877772705
2020-06-30,2019,2020,-0.0005274707385574213,1.1363500800330089
2020-07-31,2019,2020,0.047539554522393446,1.1903716566192641
2020-08-31,2019,2020,0.03577086245761505,1.232952277421635
2020-09-30,2019,2020,-0.053220230176858535,1.1673342734201737
2020-10-30,2019,2020,-0.023167003040550832,1.1402906367585093
2020-11-30,2019,2020,0.1366744089184577,1.2961391855327302
2020-12-31,2019,2020,0.04050029291808499,1.348633202209414
2021-01-29,2020,2021,-0.008209379548310799,1.3375617603810233
2021-02-26,2020,2021,-0.015287740260935198,1.317113463605359
2021-03-31,2020,2021,0.01889122822658736,1.3419953546466388
2021-04-30,2020,2021,0.035095098653018346,1.3890928140098548
2021-05-31,2020,2021,0.01777695775341746,1.4137866582800838
2021-06-30,2020,2021,-0.013324669981107038,1.3949484176348095
2021-07-30,2020,2021,0.04376356003205272,1.4559963264515874
2021-08-31,2020,2021,0.012394797084970391,1.4740431054744172
2021-09-30,2020,2021,-0.06246829136851413,1.3819621512718918
2021-10-29,2020,2021,0.024021719559553026,1.415159258511662
2021-11-30,2020,2021,-0.016193731467746157,1.3922425494952293
2021-12-31,2020,2021,0.050093815128307906,1.4619852903834074
2022-01-31,2021,2022,-0.044965402867332874,1.396246532815203
2022-02-28,2021,2022,0.003465579164945511,1.401085335708455
2022-03-31,2021,2022,0.022630518618947215,1.432792623484939
2022-04-29,2021,2022,-0.03376119080500368,1.3844198383394621
2022-05-31,2021,2022,-0.001681610454936958,1.3820917834652884
2022-06-30,2021,2022,-0.06671504361010944,1.2898854698582278
2022-07-29,2021,2022,0.034382629920213875,1.3342351246078246
2022-08-31,2021,2022,-0.04490574177916054,1.2743203066294995
2022-09-30,2021,2022,-0.12015348778628418,1.121206277231078
2022-10-31,2021,2022,0.0803972476478932,1.2113481759659974
2022-11-30,2021,2022,0.09281818060359492,1.3237833097366447
2022-12-30,2021,2022,0.004504946512843909,1.329746882741604
2023-01-31,2022,2023,0.00027820729430964516,1.3301168280239681
2023-02-28,2022,2023,-0.013997771718611902,1.3114981563062045
2023-03-31,2022,2023,0.0062985938838820785,1.3197587505722372
2023-04-28,2022,2023,0.044591385948364565,1.3786086223777354
2023-05-31,2022,2023,-0.04059135140496664,1.3226490353368838
2023-06-30,2022,2023,-0.0918490005816716,1.2011650433208791
2023-07-31,2022,2023,0.03368832136509485,1.2416302773127912
2023-08-31,2022,2023,-0.033144587050127385,1.2004769545023237
2023-09-29,2022,2023,-0.03219657489392,1.1618257083282646
2023-10-31,2022,2023,-0.020937723897229844,1.1374997224305838
2023-11-30,2022,2023,0.043407388297753965,1.1868756145707156
2023-12-29,2022,2023,0.03749151167582823,1.2313733755321494
2024-01-31,2023,2024,-0.007176284074160639,1.2225366903879726
2024-02-29,2023,2024,0.0013330075382064314,1.2241663410119938
2024-03-29,2023,2024,0.027986341225334995,1.2584262779481252
2024-04-30,2023,2024,0.015454323496413862,1.2778744047439237
2024-05-31,2023,2024,0.04279315748182855,1.3325586853881284
2024-06-28,2023,2024,-0.02260436788744742,1.3024370386320017
2024-07-31,2023,2024,0.04967574613281313,1.367136570317058
2024-08-30,2023,2024,0.025900039647495245,1.4025454616918105
2024-09-30,2023,2024,-0.009886325684294204,1.3886794404704965
2024-10-31,2023,2024,-0.01802090639865247,1.3636541782560445
2024-11-29,2023,2024,-0.02400288537333521,1.330922543326495
2024-12-31,2023,2024,-0.021635308630361935,1.3021276233385202
2025-01-31,2024,2025,0.03871791035193011,1.352543283925713
2025-02-28,2024,2025,0.008743372006227983,1.3643690730116007
2025-03-31,2024,2025,0.017658436345027003,1.3884616974384996
2025-04-30,2024,2025,0.09335909073809633,1.5180872190360317
2025-05-30,2024,2025,-0.002979301016712302,1.5135643802408998
2025-06-30,2024,2025,0.008334834989174759,1.5261796895957003
2025-07-31,2024,2025,-0.025204234372139464,1.487713499005131
2025-08-29,2024,2025,0.022124950506554743,1.520629086538553
2025-09-30,2024,2025,0.0033187313008274846,1.525675645884997
2025-10-31,2024,2025,-0.01208478709731228,1.5072381805249222
2025-11-28,2024,2025,0.012483099807581746,1.5260531851662127
2025-12-31,2024,2025,0.05277546617204242,1.6065913534166896
