formation_year,oos_year,ISIN,NAME,weight
2013,2014,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,5.784950559987662e-18
2013,2014,FR0000120172,CARREFOUR,3.748794755048299e-18
2013,2014,FR0000120222,CNP ASSURANCES DEAD - DELIST.20/06/22,8.390491507718253e-19
2013,2014,FR0000120271,TOTALENERGIES,4.892153329386333e-19
2013,2014,FR0000120321,L'OREAL,3.2785081377341664e-19
2013,2014,FR0000120404,ACCOR,0.0
2013,2014,FR0000120503,BOUYGUES,1.1842310300484764e-18
2013,2014,FR0000120560,QUADIENT,7.88829312221006e-18
2013,2014,FR0000120578,SANOFI,1.0379631679610946e-18
2013,2014,FR0000120628,AXA,1.2253537312630019e-18
2013,2014,FR0000120644,DANONE,1.3731539486216678e-18
2013,2014,FR0000120693,PERNOD-RICARD,1.779062509046664e-18
2013,2014,FR0000120859,IMERYS,0.0
2013,2014,FR0000120966,BIC,0.0
2013,2014,FR0000121014,LVMH,0.0
2013,2014,FR0000121121,EURAZEO,1.1889583148109155e-18
2013,2014,FR0000121220,SODEXO,0.0
2013,2014,FR0000121329,THALES,0.0
2013,2014,FR0000121485,KERING,0.0
2013,2014,FR0000121667,ESSILORLUXOTTICA,9.553249349127992e-19
2013,2014,FR0000121964,KLEPIERRE REIT,5.854211526824841e-18
2013,2014,FR0000121972,SCHNEIDER ELECTRIC,8.565946149719496e-19
2013,2014,FR0000124141,VEOLIA ENVIRON,1.1505314068554759e-18
2013,2014,FR0000125007,SAINT GOBAIN,0.0
2013,2014,FR0000125338,CAPGEMINI,4.879630606426662e-19
2013,2014,FR0000125486,VINCI,0.0
2013,2014,FR0000127771,VIVENDI,2.305617044851069e-18
2013,2014,FR0000130213,LAGARDERE GROUPE,0.0
2013,2014,FR0000130395,REMY COINTREAU,3.3617354392211554e-18
2013,2014,FR0000130403,CHRISTIAN DIOR,1.4754228469395985e-18
2013,2014,FR0000130452,EIFFAGE,0.0
2013,2014,FR0000130577,PUBLICIS GROUPE,1.1653296208667283e-18
2013,2014,FR0000130809,SOCIETE GENERALE,1.62886651977035e-18
2013,2014,FR0000131104,BNP PARIBAS,8.597024431011363e-20
2013,2014,FR0000131906,RENAULT,4.397192472566609e-18
2013,2014,FR0000133308,ORANGE,0.0
2013,2014,FR0010040865,GECINA,6.791325811484871e-19
2013,2014,FR0010220475,ALSTOM,4.686189588638723e-18
2013,2014,FR0010242511,EDF DEAD - DELIST.08/06/23,0.0
2013,2014,FR0010307819,LEGRAND,0.0
2013,2014,FR0010313833,ARKEMA,2.1656891357797524e-18
2013,2014,FR0010340141,ADP,3.2956174184074733e-18
2013,2014,FR0010533075,GETLINK,1.2419915405084997e-18
2013,2014,FR0013176526,VALEO,4.140613943186311e-18
2013,2014,FR0013280286,BIOMERIEUX,3.321407190981207e-18
2013,2014,FR0013326246,UNIBAIL RODAMCO WE STAPLED UNITS,2.5457970697769452e-18
2013,2014,FR0013505062,VANTIVA,3.719433693656643e-18
2013,2014,FR0013506730,VALLOUREC,0.0
2013,2014,FR0014003TT8,DASSAULT SYSTEMES,2.8498784197182984e-18
2013,2014,GB0000163088,SPEEDY HIRE,0.0
2013,2014,GB0000456144,ANTOFAGASTA,0.0
2013,2014,GB0000536739,ASHTEAD GROUP,1.4810039470501664e-18
2013,2014,GB0000811801,BARRATT REDROW,0.0
2013,2014,GB0000904986,BELLWAY,4.446100359002927e-18
2013,2014,GB0000961622,BALFOUR BEATTY,0.0
2013,2014,GB0001367019,BRITISH LAND,0.0
2013,2014,GB0001500809,TULLOW OIL,0.0
2013,2014,GB0001638955,WETHERSPOON (JD),0.0
2013,2014,GB0001826634,DIPLOMA,1.3294637431493964e-18
