date,Minimum-Variance,Minimum-Variance 50% CF Reduction,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
2019-04-30,-0.00821510023942983,-0.007039295850680442,0.038238555991075146,0.03189851394688056,0.034622580935754904
2019-05-31,-0.031152302310590806,-0.028219007048176464,-0.05270616938156636,-0.057282664378099556,-0.05258061568574221
2019-06-28,0.0342487589046844,0.03155792741255049,0.06775783630608034,0.07113823527973884,0.06649212259274688
2019-07-31,-0.02382984981359959,-0.021920147657572026,-0.01620973952568178,-0.014473669394291146,-0.014105523057071311
2019-08-30,-0.022759179552327063,-0.018068925389956064,-0.023392521901586437,-0.023893441751282687,-0.02397816903305701
2019-09-30,-0.001808790877877301,-0.003969250698710692,0.027755332967435816,0.034563935494915904,0.03429526660148553
2019-10-31,0.01528214539430756,0.017669444373614902,0.031000068264225068,0.03817254789329354,0.035578216919934014
2019-11-29,0.024124574501930632,0.025904068740371766,0.01667001816429973,0.01801697910028842,0.018406769585667174
2019-12-31,0.054765704891759276,0.05196686423684656,0.04009107556991087,0.045661263410584234,0.046803958647253355
2020-01-31,0.0006247211000818525,0.0009110915002674856,-0.02691410052263761,-0.025582968141787787,-0.02524715360682609
2020-02-28,-0.06922512975859597,-0.0697801588646525,-0.09450822904669037,-0.09573284376870045,-0.09680593151750179
2020-03-31,-0.11144962032828895,-0.11227217451892936,-0.15297286389009973,-0.17712822744598827,-0.1718864694060624
2020-04-30,0.06659665493800017,0.06652282490570366,0.06242998938115143,0.07749640094238162,0.0765521254774883
2020-05-29,0.028753817807469828,0.028512125203006077,0.04440647185214279,0.033888565427821725,0.036041254718186866
2020-06-30,-0.0005274707385574213,-0.00041278211645477106,0.04068198309445578,0.030545348662137005,0.028841458684647416
2020-07-31,0.047539554522393446,0.04756516011564169,0.034808905888600306,0.03852308754467042,0.03455848506468064
2020-08-31,0.03577086245761505,0.03531684266818614,0.044545601489613604,0.035998860501099184,0.03674621476895207
2020-09-30,-0.053220230176858535,-0.05284892198731789,-0.03736447680972682,-0.02932575120992112,-0.03065888288850932
2020-10-30,-0.023167003040550832,-0.023631354384887438,-0.05256895646220206,-0.04586135828120965,-0.048414133594151684
2020-11-30,0.1366744089184577,0.13710955486681345,0.18286257955949803,0.18254353660252282,0.18346515602788188
2020-12-31,0.04050029291808499,0.040055927748826686,0.04592436307827105,0.04477633660810383,0.04302732895730591
2021-01-29,-0.008209379548310799,-0.006439609968266044,-0.020188942857647992,-0.012331833653884006,-0.015904058321667355
2021-02-26,-0.015287740260935198,-0.013596683526167235,0.03447648678817125,0.03976139033909964,0.04190406263576668
2021-03-31,0.01889122822658736,0.015414463474459116,0.0352651691767115,0.03098898173895013,0.03221087005987127
2021-04-30,0.035095098653018346,0.036838733301906755,0.05414327571203938,0.04810066886619853,0.04692781047199105
2021-05-31,0.01777695775341746,0.017382619428737915,0.04598283989638805,0.04392210592263425,0.04648090746748576
2021-06-30,-0.013324669981107038,-0.013170594306760366,-0.0167690662555548,-0.026697178895012365,-0.026856003590763212
2021-07-30,0.04376356003205272,0.04759072783726724,0.016901227419375563,0.017348313571177047,0.015505263861433754
2021-08-31,0.012394797084970391,0.00879075639252568,0.014001582005346014,0.013073635715698556,0.013470759932683478
2021-09-30,-0.06246829136851413,-0.06276559301060347,-0.0465554915085346,-0.04586813448883162,-0.04294407253302464
2021-10-29,0.024021719559553026,0.02057456986142479,0.04670975819254397,0.03452105395801758,0.03635825406091926
2021-11-30,-0.016193731467746157,-0.017381740800165735,-0.048293492082469414,-0.05308712561819365,-0.0537213817414465
2021-12-31,0.050093815128307906,0.048026978553585495,0.06742462896040885,0.06539614435394993,0.066978058031562
2022-01-31,-0.044965402867332874,-0.04717233592037754,-0.04226369754760316,-0.02666066303116408,-0.027290059969568882
2022-02-28,0.003465579164945511,-0.0007383115859839111,-0.034471219115966345,-0.026722315537169795,-0.026338413191986793
2022-03-31,0.022630518618947215,0.028604937562160027,0.005056455568120491,0.012823432477255918,0.017831215399991905
2022-04-29,-0.03376119080500368,-0.0341715367231871,-0.058945480110505696,-0.049841742687809484,-0.051838653895102726
2022-05-31,-0.001681610454936958,-0.0024747012455141023,0.009565032948592445,0.007731350740997021,0.006097869049603673
2022-06-30,-0.06671504361010944,-0.061523144383632294,-0.09899730022246434,-0.09634597074732948,-0.09733551822047182
2022-07-29,0.034382629920213875,0.034860271745282695,0.04961656951539539,0.0304824604818253,0.03394618338709805
2022-08-31,-0.04490574177916054,-0.042543292597372266,-0.057832588483054004,-0.05880403464229794,-0.05739894294140325
2022-09-30,-0.12015348778628418,-0.11524092880181355,-0.08986073033803892,-0.09482838646673136,-0.0935548885391676
2022-10-31,0.0803972476478932,0.08532864149345477,0.07654393242339416,0.08139407615727143,0.07929201337792269
2022-11-30,0.09281818060359492,0.09069378719580927,0.11007784903362276,0.0928811927731708,0.09343193334521642
2022-12-30,0.004504946512843909,0.006699259494189027,-0.008859079836632153,-0.007363003205455987,-0.011048280764634613
2023-01-31,0.00027820729430964516,0.00147352998136637,0.08757184481733107,0.07773810190867154,0.08881204090611312
2023-02-28,-0.013997771718611902,-0.01419878339279804,-0.00562869917626038,-0.010008410651152355,-0.010433783011544111
