ISIN,NAME,Minimum-Variance,Minimum-Variance 50% CF Reduction,weight_change,comparison,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
IT0005218380,BANCO BPM,3.0081733387700538e-18,0.0,-3.0081733387700538e-18,Minimum-Variance 50% CF Reduction,,,
DE0005470405,LANXESS,2.9899929397566427e-18,0.0,-2.9899929397566427e-18,Minimum-Variance 50% CF Reduction,,,
DK0010244508,A P MOLLER MAERSK B,2.9681251263458625e-18,0.0,-2.9681251263458625e-18,Minimum-Variance 50% CF Reduction,,,
FI0009013403,KONE B,2.9637469311157803e-18,0.0,-2.9637469311157803e-18,Minimum-Variance 50% CF Reduction,,,
GB0004170089,HEADLAM GROUP,2.922034623897054e-18,0.0,-2.922034623897054e-18,Minimum-Variance 50% CF Reduction,,,
DE0005552004,DEUTSCHE POST,2.8862541302722814e-18,0.0,-2.8862541302722814e-18,Minimum-Variance 50% CF Reduction,,,
GB00BYZN9041,FUTURE,2.8732165763438594e-18,0.0,-2.8732165763438594e-18,Minimum-Variance 50% CF Reduction,,,
GB0002652740,DERWENT LONDON,2.873071250179783e-18,0.0,-2.873071250179783e-18,Minimum-Variance 50% CF Reduction,,,
ES0134950F36,FAES FARMA,2.855719818781537e-18,0.0,-2.855719818781537e-18,Minimum-Variance 50% CF Reduction,,,
GB0002148343,RATHBONES GROUP,2.8542990222854797e-18,0.0,-2.8542990222854797e-18,Minimum-Variance 50% CF Reduction,,,
IT0003497168,TELECOM ITALIA,2.7988355304545654e-18,0.0,-2.7988355304545654e-18,Minimum-Variance 50% CF Reduction,,,
LU0075646355,SUBSEA 7,2.7662303790239663e-18,0.0,-2.7662303790239663e-18,Minimum-Variance 50% CF Reduction,,,
SE0001662230,HUSQVARNA B,2.759817346996225e-18,0.0,-2.759817346996225e-18,Minimum-Variance 50% CF Reduction,,,
DE000KSAG888,K S N,2.7205920485291294e-18,0.0,-2.7205920485291294e-18,Minimum-Variance 50% CF Reduction,,,
ES0144580Y14,IBERDROLA,2.6551845747520054e-18,0.0,-2.6551845747520054e-18,Minimum-Variance 50% CF Reduction,,,
GB0032089863,NEXT,2.650728363466904e-18,0.0,-2.650728363466904e-18,Minimum-Variance 50% CF Reduction,,,
DE0005785604,FRESENIUS,2.5933644724190516e-18,0.0,-2.5933644724190516e-18,Minimum-Variance 50% CF Reduction,,,
ES0148396007,INDUSTRIA DE DISENO TEXTIL,2.5704850623287228e-18,0.0,-2.5704850623287228e-18,Minimum-Variance 50% CF Reduction,,,
GB0008706128,LLOYDS BANKING GROUP,2.4691786077041073e-18,0.0,-2.4691786077041073e-18,Minimum-Variance 50% CF Reduction,,,
IL0006954379,MIZRAHI TEFAHOT LTD.,2.454922425329407e-18,0.0,-2.454922425329407e-18,Minimum-Variance 50% CF Reduction,,,
FR0013326246,UNIBAIL RODAMCO WE STAPLED UNITS,2.4403413253066414e-18,0.0,-2.4403413253066414e-18,Minimum-Variance 50% CF Reduction,,,
NL0000226223,STMICROELECTRONICS,2.438556024972913e-18,0.0,-2.438556024972913e-18,Minimum-Variance 50% CF Reduction,,,
FR0000121014,LVMH,2.426273529213808e-18,0.0,-2.426273529213808e-18,Minimum-Variance 50% CF Reduction,,,
GB0006731235,ASSOCIATED BRIT.FOODS,2.417112626888128e-18,0.0,-2.417112626888128e-18,Minimum-Variance 50% CF Reduction,,,
DE0006231004,INFINEON TECHNOLOGIES,2.357579572445823e-18,0.0,-2.357579572445823e-18,Minimum-Variance 50% CF Reduction,,,
DE0007257503,CECONOMY,2.332606731683829e-18,0.0,-2.332606731683829e-18,Minimum-Variance 50% CF Reduction,,,
DE0006599905,MERCK KGAA,2.3150262174073854e-18,0.0,-2.3150262174073854e-18,Minimum-Variance 50% CF Reduction,,,
NL0000009538,PHILIPS ELTN.KONINKLIJKE,2.2944917021352877e-18,0.0,-2.2944917021352877e-18,Minimum-Variance 50% CF Reduction,,,
FR0000121204,WENDEL,2.2864602405322993e-18,0.0,-2.2864602405322993e-18,Minimum-Variance 50% CF Reduction,,,
IE00BGH1M568,PERRIGO,2.2831315024127463e-18,0.0,-2.2831315024127463e-18,Minimum-Variance 50% CF Reduction,,,
FR0000039109,SECHE ENVIRONNEMENT,2.2820698978439915e-18,0.0,-2.2820698978439915e-18,Minimum-Variance 50% CF Reduction,,,
FR0010221234,EUTELSAT COMMUNICATIONS,2.2683578774127062e-18,0.0,-2.2683578774127062e-18,Minimum-Variance 50% CF Reduction,,,
GB0031274896,MARKS & SPENCER GROUP,2.242926106025919e-18,0.0,-2.242926106025919e-18,Minimum-Variance 50% CF Reduction,,,
