formation_year,ISIN,NAME,weight,carbon_intensity,WACI_contribution
2018,CH0012214059,HOLCIM,0.003379424413005748,4351.6195640112355,14.705969390732998
2018,DE0006047004,HEIDELBERG MATERIALS,0.001954271171258343,3511.0816068497566,6.8616055642018985
2018,FI0009007132,FORTUM,0.001803352545133296,3575.373679913337,6.447659225474315
2018,IT0003128367,ENEL,0.005794961544026603,1053.7032596354043,6.106169868402646
2018,IE0001827041,CRH PUBLIC LIMITED,0.003018457355905172,1128.5531731535946,3.406489627035591
2018,FR0000120271,TOTALENERGIES,0.013418633444233491,248.6324993545951,3.3363083711629318
2018,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.005131807757934594,635.4105421017565,3.26080474943122
2018,IT0003132476,ENI,0.0059801648527894,520.8390027890298,3.1147030984408364
2018,GB00BP6MXD84,SHELL,0.014342331823066675,214.46514415363774,3.0759302619333004
2018,GB0007188757,RIO TINTO,0.0068036694486137165,412.21183312789907,2.8045530554093423
2019,CH0012214059,HOLCIM,0.0030468974835452475,4379.201500017662,13.342978030341387
2019,DE0007037129,RWE,0.0015049776544976516,5972.554645944095,8.988561282411997
2019,FI0009007132,FORTUM,0.0021455905604771137,3210.456573501324,6.88832531892614
2019,IT0003128367,ENEL,0.006363802651985512,839.8592627659591,5.344698603684607
2019,DE0006047004,HEIDELBERG MATERIALS,0.0014701997305714897,3520.8024766611757,5.176282852582695
2019,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.0055370979757851544,673.9334222338351,3.7316353880649302
2019,FR0000120271,TOTALENERGIES,0.015420080882437657,226.91500710580664,3.499047763010454
2019,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,0.0010127119878603234,3226.849413799579,3.2678690843748908
2019,GB0007188757,RIO TINTO,0.007432299519338835,428.8243812189566,3.1871512424144246
2019,IT0003132476,ENI,0.006499698587982822,473.8146396878297,3.0796523445445763
2020,FI0009007132,FORTUM,0.0020330506488515526,8142.675720983548,16.554472157933386
2020,CH0012214059,HOLCIM,0.002979553436479603,3976.1704490289285,11.84721232543279
