ISIN,NAME,emissions_scope1,revenue_musd,market_cap_musd,carbon_intensity,carbon_footprint_coeff,weight,WACI_contribution,formation_year,strategy
GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,15844.0,413.215,469.47,38.34323536173663,33.748695337295246,0.041619495285116256,1.5958261033539007,2019,Minimum-Variance
GB00BDR05C01,NATIONAL GRID,4491965.0,19525.583,37218.98,230.05535865433572,120.69016937057383,0.0066442088796227,1.5285358567759222,2019,Minimum-Variance
IE00BY7QL619,JOHNSON CONTROLS INTL.,642379.0,23559.0,30333.24,27.266819474510804,21.177394831544536,0.05227961629381117,1.4254988596800429,2019,Minimum-Variance
NO0003054108,MOWI,155640.0,4351.883,11387.65,35.763829128678324,13.667437970081624,0.031219736972097397,1.1165373385123725,2019,Minimum-Variance
BE0003822393,ELIA GROUP,16868.5,2090.415,4492.27,8.069450324457106,3.755005821110485,0.09546748268991094,0.770370109167205,2019,Minimum-Variance
CH0198251305,COCA-COLA HBC,248872.0,7718.837,12618.06,32.24216290614765,19.723475716552308,0.016891936460011157,0.5446325671439748,2019,Minimum-Variance
CH0014786500,VALIANT 'R',1357.0,467.443,1696.74,2.903027748837826,0.7997689687282672,0.10006968404048738,0.29050506958696865,2019,Minimum-Variance
GB00BDR05C01,NATIONAL GRID,3903000.0,19357.576,46065.74,201.62648463836587,84.72674052343456,0.12237112341133792,24.6732594346757,2020,Minimum-Variance
NL0009432491,KONINKLIJKE VOPAK,207078.0,1385.071,6799.17,149.5071371792493,30.45636452684666,0.09030982235671738,13.50196299971938,2020,Minimum-Variance
GB0001667087,CAMELLIA,169663.0,379.343,301.02,447.2548590589519,563.6270015281377,0.010106474379634536,4.520169774246353,2020,Minimum-Variance
GB00BHJYC057,ICTL.HTLS.GP.,330760.0,2119.153,11517.84,156.08122679202495,28.717190028685934,0.027448499519812212,4.284195478652598,2020,Minimum-Variance
IE0004927939,KINGSPAN GROUP,606488.0,5151.831,11358.12,117.72280573644593,53.39686497413304,0.015416533220175445,1.8148775454081791,2020,Minimum-Variance
DE0007042301,RHOEN-KLINIKUM,41473.0,1441.794,1174.34,28.764858225238832,35.31600728920075,0.03629238284006088,1.0439452470504418,2020,Minimum-Variance
CH0018294154,PSP SWISS PROPERTY AG,7252.0,366.595,6999.46,19.7820483094423,1.0360799261657327,0.03308912394844912,0.6545706484653446,2020,Minimum-Variance
BE0003822393,ELIA GROUP,19760.81,2479.438,6634.83,7.969874624814172,2.9783445845635836,0.07961118775760304,0.6344911851606371,2020,Minimum-Variance
NL0011794037,KONINKLIJKE AHOLD DELHAIZE,1816000.0,73267.443,26636.97,24.78590661339171,68.17592241159561,0.01275859881366044,0.31623343871311793,2020,Minimum-Variance
IE00BY7QL619,JOHNSON CONTROLS INTL.,549358.0,24080.0,30010.74,22.813870431893687,18.305380007290722,0.00983352771261121,0.22434082712394804,2020,Minimum-Variance
NL0009432491,KONINKLIJKE VOPAK,322266.0,1431.393,6462.79,225.14152297796622,49.86484165507466,0.07269397195669419,16.366431557647697,2021,Minimum-Variance
GB00BDR05C01,NATIONAL GRID,4727000.0,20151.1,41965.72,234.57776498553432,112.63955437914564,0.049918132150947536,11.709683872221817,2021,Minimum-Variance
GB00BHJYC057,ICTL.HTLS.GP.,402138.0,1046.042,11987.49,384.4377185619698,33.54647219726565,0.019271285051437565,7.40860885893205,2021,Minimum-Variance
DE0007042301,RHOEN-KLINIKUM,48803.0,1636.069,1172.75,29.82942650951763,41.61415476444255,0.05778716190497909,1.7237578992381706,2021,Minimum-Variance
NL0011794037,KONINKLIJKE AHOLD DELHAIZE,1794000.0,89896.304,31167.15,19.956326569332592,57.56060467511466,0.030326996364965855,0.605215443326221,2021,Minimum-Variance
CH0018294154,PSP SWISS PROPERTY AG,7512.0,388.633,5955.61,19.329290101458188,1.261331752750768,0.02686003359958633,0.5191853815813184,2021,Minimum-Variance
BE0003822393,ELIA GROUP,16854.96,2657.82,8423.08,6.3416484186288,2.001044748476804,0.0665954678968651,0.4223250436759996,2021,Minimum-Variance
FR0013280286,BIOMERIEUX,24000.0,3750.731,18508.24,6.398752669812898,1.2967197313196717,0.06383513666546778,0.40846525116603316,2021,Minimum-Variance
IE00BY7QL619,JOHNSON CONTROLS INTL.,451311.0,22082.0,36525.0,20.43795851825016,12.356221765913757,0.015201224813205865,0.31068200215889646,2021,Minimum-Variance
CH0008742519,SWISSCOM 'R',14832.0,12350.098,27907.32,1.2009621300171058,0.5314734628764066,0.11265417868964192,0.13529340239444002,2021,Minimum-Variance
GB0001667087,CAMELLIA,155985.0,376.036,257.59,414.81400716952635,605.5553398812066,0.018401756186561258,7.633306222704097,2022,Minimum-Variance
ES0112501012,EBRO FOODS,171685.0,2741.779,2881.87,62.61810306374073,59.57416538566972,0.10140047647994535,6.349505486933636,2022,Minimum-Variance
GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,40170000.0,13311.761,10163.04,3017.632302743416,3952.5575024795726,0.00184160147756787,5.557276107488809,2022,Minimum-Variance
NL0009432491,KONINKLIJKE VOPAK,327970.0,1387.118,4455.95,236.4398702922174,73.60271098194549,0.01670326184629154,3.9493170643941156,2022,Minimum-Variance
DE0007042301,RHOEN-KLINIKUM,40344.0,1583.804,1157.37,25.472848913123087,34.85834262163353,0.06370259453694231,1.6226865660134717,2022,Minimum-Variance
CH0018294154,PSP SWISS PROPERTY AG,6697.0,421.356,5493.7,15.893923428170003,1.2190327101953147,0.03967718983610286,0.630626217099984,2022,Minimum-Variance
CH0012032048,ROCHE HOLDING,249350.0,68318.121,272925.53,3.6498369151575467,0.9136191839583493,0.13850577888825105,0.5055235047489874,2022,Minimum-Variance
BE0974256852,COLRUYT GROUP,90889.0,11208.443,5479.26,8.108976420721415,16.587823903227807,0.04871468405807477,0.3950262243698217,2022,Minimum-Variance
IE00BGH1M568,PERRIGO,57248.0,4138.7,5017.86,13.832362819242759,11.40884759638571,0.02553963860338073,0.35327354743430067,2022,Minimum-Variance
GB00BYYTFB60,HOMESERVE DEAD - DELIST.05/01/23,13698.0,1870.004,3539.16,7.325118021137923,3.8704099277794732,0.038715177503621134,0.28359324442332867,2022,Minimum-Variance
GB0001667087,CAMELLIA,149995.0,365.407,164.02,410.4874838194123,914.4921351054749,0.021497512751298214,8.824459917656135,2023,Minimum-Variance
GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,40170000.0,14310.299,1450.73,2807.0692303494147,27689.50804077947,0.0022627966716644832,6.351826911566438,2023,Minimum-Variance
ES0112501012,EBRO FOODS,168777.0,3246.843,2710.26,51.98187901293657,62.27336122733612,0.09883236554377363,5.137492068258761,2023,Minimum-Variance
DE0007042301,RHOEN-KLINIKUM,37676.0,1582.12,1058.63,23.813617171895938,35.589393839207276,0.1247207734297776,2.9700527518394946,2023,Minimum-Variance
BE0974256852,COLRUYT GROUP,83194.0,11306.673,3662.86,7.357955784163917,22.71285279808674,0.10512309693551916,0.7734910991459274,2023,Minimum-Variance
