date,formation_year,oos_year,portfolio_return,cumulative_index
2024-10-31,2023,2024,-0.05831656947986305,1.706208880388391
2024-11-29,2023,2024,-0.010705710877978137,1.6879427014175141
2024-12-31,2023,2024,-0.016172571472225193,1.6606443274378186
2025-01-31,2024,2025,0.0688240066826275,1.7749365237268666
2025-02-28,2024,2025,0.030614716576266382,1.8292757023416284
2025-03-31,2024,2025,0.00017764383674481483,1.8296006618958567
2025-04-30,2024,2025,0.0413132235226085,1.9051873629978728
2025-05-30,2024,2025,0.045547954630415374,1.9919647505701408
2025-06-30,2024,2025,0.019535150670380173,2.030878082102615
2025-07-31,2024,2025,-0.010904134626257785,2.0087331140858518
2025-08-29,2024,2025,0.030930859954909497,2.07086495672443
2025-09-30,2024,2025,0.02166344976397592,2.115727035682408
2025-10-31,2024,2025,0.010189765090072515,2.1372857971707266
2025-11-28,2024,2025,0.016483308622597122,2.172515338580185
2025-12-31,2024,2025,0.03723588654876173,2.253410873253001
