date,Minimum-Variance,Value-Weighted
2019-02-28,1.215632056403775,1.1164184365425907
2019-03-29,1.2292422304394282,1.1268730461842897
2019-04-30,1.2234154498144536,1.1699630442556412
2019-05-31,1.175676590311784,1.1082987738749304
2019-06-28,1.2165805026082641,1.1833947007733774
2019-07-31,1.1848621721371817,1.1642121809177688
2019-08-30,1.1530735859245371,1.1369783219775562
2019-09-30,1.1493897108350808,1.1685355338807997
2019-10-31,1.1618779580868823,1.2047602152002772
2019-11-29,1.1935454861112467,1.2248435898712915
2019-12-31,1.2625325508986511,1.2739488867941424
2020-01-31,1.262542520601664,1.2396616983942625
2020-02-28,1.1672915037050309,1.1225034666620084
2020-03-31,1.0275484092083171,0.9507908966401558
2020-04-30,1.0981727625725628,1.0101487622210963
2020-05-29,1.1275557730108758,1.0550059047971443
2020-06-30,1.1305629561807038,1.0979256371806527
2020-07-31,1.1830241735706521,1.1361432273579557
2020-08-31,1.224034053450882,1.1867534107989666
2020-09-30,1.160210205481619,1.1424109905023045
2020-10-30,1.1284333269369138,1.0823556368806477
2020-11-30,1.2881527405968567,1.2802779806414064
2020-12-31,1.3445735144792563,1.339073931465498
2021-01-29,1.334019474822142,1.312039444380975
2021-02-26,1.3135820097730118,1.3572739549507353
2021-03-31,1.3386384163790301,1.4051384505912172
2021-04-30,1.38549642076186,1.4812172491351654
2021-05-31,1.410399021053256,1.549327824753916
2021-06-30,1.3916467314439254,1.5233470438090428
2021-07-30,1.4526674436696825,1.549093478635093
2021-08-31,1.4707138728266755,1.570783238010149
2021-09-30,1.3787880472284664,1.497654652311219
2021-10-29,1.4121153729129032,1.5676097389766146
2021-11-30,1.3896153666662585,1.4919043904589455
2021-12-31,1.4595102651144107,1.5924954904300448
2022-01-31,1.3940738296979538,1.5251907426765874
2022-02-28,1.3990665811257577,1.4726155583921392
2022-03-31,1.4304590270254878,1.480061773532072
2022-04-29,1.3820633870628252,1.3928188216980175
2022-05-31,1.3797939067895775,1.4061411796189787
2022-06-30,1.2879960920494218,1.2669369991050685
2022-07-29,1.3320899992221433,1.3297980667927916
2022-08-31,1.2724318371398455,1.2528924024304033
2022-09-30,1.1195420817699617,1.140306576113027
2022-10-31,1.2092118235880638,1.2275901256169746
2022-11-30,1.321402745378349,1.3627206061398058
2022-12-30,1.3273390425891247,1.3506481554949896
2023-01-31,1.3280462421407981,1.4689269061708112
2023-02-28,1.3123735165484163,1.460658758504061
2023-03-31,1.3214671752718097,1.4986415020021369
2023-04-28,1.3797746875826753,1.560679460574671
2023-05-31,1.3236650224200759,1.4667088262397294
2023-06-30,1.1877212334523597,1.5369296093891514
2023-07-31,1.2281425788390736,1.5769550874715086
2023-08-31,1.187508560459492,1.517244526938787
2023-09-29,1.1500553850745512,1.4559075267733705
2023-10-31,1.126293575254312,1.4020310222082033
2023-11-30,1.174793374261495,1.5415605901098794
2023-12-29,1.2193334569297063,1.6193647253073704
2024-01-31,1.210611137949311,1.61540839175855
2024-02-29,1.2119310614476504,1.6456986254209907
2024-03-29,1.2458570771330253,1.7014758120032996
2024-04-30,1.2648937666591142,1.6608769151005487
2024-05-31,1.318928591513695,1.735663070533207
2024-06-28,1.2890967400266686,1.6845075303392412
2024-07-31,1.3532455673093096,1.7269883365952539
2024-08-30,1.388346727428617,1.7916931848721198
2024-09-30,1.3745283845571294,1.811870980299579
2024-10-31,1.3497046960083685,1.706208880388391
2024-11-29,1.3175912422787244,1.6879427014175141
2024-12-31,1.2890092446556973,1.6606443274378186
2025-01-31,1.3388717392405622,1.7749365237268666
2025-02-28,1.3511364974591484,1.8292757023416284
2025-03-31,1.3752167588915807,1.8296006618958567
2025-04-30,1.5036079056263625,1.9051873629978728
2025-05-30,1.4991665776256708,1.9919647505701408
2025-06-30,1.5117916300103922,2.030878082102615
2025-07-31,1.4739763540009772,2.0087331140858518
2025-08-29,1.5069625198306529,2.07086495672443
2025-09-30,1.5114784725522392,2.115727035682408
2025-10-31,1.4933899075044257,2.1372857971707266
2025-11-28,1.5115469217420838,2.172515338580185
2025-12-31,1.5914457317785924,2.253410873253001
